numero_leccion,titulo,url,descripcion,ejemplos_codigo,categoria
1,Python HOME,https://www.w3schools.com/python/default.asp,"PythonTutorial
Learn Python
Python is a popular programming language.
Python can be used on a server to create web applications.
Tip:Sign into track your progress.","print(""Hello, World!"")",Python Básico
2,Python Intro,https://www.w3schools.com/python/python_intro.asp,"PythonIntroduction
What is Python?
Python is a popular programming language. It was created by Guido van Rossum, 
and released in 1991.
It is used for:
What can Python do?","print(""Hello, World!"")",Python Básico
3,Python Get Started,https://www.w3schools.com/python/python_getstarted.asp,"PythonGetting Started
Get Started With Python
At W3Schools, you can try Python without installing anything.
Our Online Python Editor runs directly in your browser, and shows both the code and the result:
Example","print(""Hello, World!"")
---
C:\Users\Your Name>python --version
---
python --version",Python Básico
4,Python Syntax,https://www.w3schools.com/python/python_syntax.asp,"PythonSyntax
Execute Python Syntax
As we learned in the previous page, Python syntax can be executed by writing directly in the Command Line:
Or by creating a python file on the server, using the .py file extension, and running it in the Command Line:
Python Indentation",">>> print(""Hello, World!"")Hello, World!
---
C:\Users\Your Name>python myfile.py
---
if 5 > 2:print(""Five is greater than two!"")",Python Básico
5,Syntax,https://www.w3schools.com/python/python_syntax.asp,"PythonSyntax
Execute Python Syntax
As we learned in the previous page, Python syntax can be executed by writing directly in the Command Line:
Or by creating a python file on the server, using the .py file extension, and running it in the Command Line:
Python Indentation",">>> print(""Hello, World!"")Hello, World!
---
C:\Users\Your Name>python myfile.py
---
if 5 > 2:print(""Five is greater than two!"")",Python Básico
6,Statements,https://www.w3schools.com/python/python_statements.asp,"PythonStatements
Statements
Acomputer programis a list of ""instructions"" to be ""executed"" by a computer.
In a programming language, these programming instructions are calledstatements.
The following statement prints the text ""Python is fun!"" to the screen:","print(""Python is fun!"")
---
print(""Hello World!"")print(""Have a good day."")print(""Learning Python is fun!"")
---
print(""Hello""); print(""How are 
    you?""); print(""Bye bye!"")",Python Básico
7,Python Output,https://www.w3schools.com/python/python_output.asp,"PythonOutput / Print
Print Text
You have already learned that you can use theprint()function to display text or output values:
Example
Try it Yourself »","print(""Hello World!"")
---
print(""Hello World!"")print(""I am learning Python."")print(""It is awesome!"")
---
print(""This will work!"")print('This will also work!')",Python Básico
8,Print Text,https://www.w3schools.com/python/python_output.asp,"PythonOutput / Print
Print Text
You have already learned that you can use theprint()function to display text or output values:
Example
Try it Yourself »","print(""Hello World!"")
---
print(""Hello World!"")print(""I am learning Python."")print(""It is awesome!"")
---
print(""This will work!"")print('This will also work!')",Python Básico
9,Print Numbers,https://www.w3schools.com/python/python_output_numbers.asp,"PythonOutput Numbers
Print Numbers
You can also use theprint()function to display numbers:
However, unlike text, we don't put numbers inside double quotes:
Example","print(3)print(358)print(50000)
---
print(3 + 3)print(2 * 5)
---
print(""I am"", 35, ""years old."")",Python Básico
10,Python Comments,https://www.w3schools.com/python/python_comments.asp,"PythonComments
Comments can be used to explain Python code.
Comments can be used to make the code more readable.
Comments can be used to prevent execution when testing code.
Creating a Comment","#This is a commentprint(""Hello, World!"")
---
print(""Hello, World!"") #This is a comment
---
#print(""Hello, World!"")print(""Cheers, Mate!"")",Python Básico
11,Python Variables,https://www.w3schools.com/python/python_variables.asp,"PythonVariables
Variables
Variables are containers for storing data values.
Creating Variables
Python has no command for declaring a variable.","x = 5y = ""John""print(x)print(y)
---
x = 4       # x is of type intx = ""Sally"" # x is now of type strprint(x)
---
x = 
  str(3)    # x will be '3'y = int(3)    # y 
  will be 3z = float(3)  # z will be 3.0",Python Básico
12,Python Variables,https://www.w3schools.com/python/python_variables.asp,"PythonVariables
Variables
Variables are containers for storing data values.
Creating Variables
Python has no command for declaring a variable.","x = 5y = ""John""print(x)print(y)
---
x = 4       # x is of type intx = ""Sally"" # x is now of type strprint(x)
---
x = 
  str(3)    # x will be '3'y = int(3)    # y 
  will be 3z = float(3)  # z will be 3.0",Python Básico
13,Variable Names,https://www.w3schools.com/python/python_variables_names.asp,"Python -Variable Names
Variable Names
A variable can have a short name (like x and y) or a more descriptive name (age, carname, total_volume).
Rules for Python variables:
Example","myvar = ""John""my_var = ""John""_my_var = ""John""myVar = ""John""MYVAR = ""John""myvar2 = ""John""
---
2myvar = ""John""my-var = ""John""my var = ""John""",Python Básico
