numero_leccion,titulo,url,descripcion,ejemplos_codigo,categoria
21,Python Strings,https://www.w3schools.com/python/python_strings.asp,"PythonStrings
Strings
Strings in python are surrounded by either single quotation marks, or double quotation marks.
'hello'is the same as""hello"".
You can display a string literal with theprint()function:","print(""Hello"")print('Hello')
---
print(""It's alright"")print(""He is called 'Johnny'"")print('He is called ""Johnny""')
---
a = ""Hello""print(a)",Python Intermedio
22,Python Strings,https://www.w3schools.com/python/python_strings.asp,"PythonStrings
Strings
Strings in python are surrounded by either single quotation marks, or double quotation marks.
'hello'is the same as""hello"".
You can display a string literal with theprint()function:","print(""Hello"")print('Hello')
---
print(""It's alright"")print(""He is called 'Johnny'"")print('He is called ""Johnny""')
---
a = ""Hello""print(a)",Python Intermedio
23,Slicing Strings,https://www.w3schools.com/python/python_strings_slicing.asp,"Python -Slicing Strings
Slicing
You can return a range of characters by using the slice syntax.
Specify the start index and the end index, separated by a colon, to return a 
part of the string.
Example","b = ""Hello, World!""print(b[2:5])
---
b = ""Hello, World!""print(b[:5])
---
b = ""Hello, World!""print(b[2:])",Python Intermedio
24,Modify Strings,https://www.w3schools.com/python/python_strings_modify.asp,"Python -Modify Strings
Python has a set of built-in methods that you can use on strings.
Upper Case
Example
Theupper()method returns the string in upper case:","a = ""Hello, World!""print(a.upper())
---
a = ""Hello, World!""print(a.lower())
---
a = "" Hello, World! ""print(a.strip()) # returns ""Hello, World!""",Python Intermedio
25,Concatenate Strings,https://www.w3schools.com/python/python_strings_concatenate.asp,"Python -String Concatenation
String Concatenation
To concatenate, or combine, two strings you can use the + operator.
Example
Merge variableawith variablebinto variablec:","a = ""Hello""b = ""World""c = a + bprint(c)
---
a = ""Hello""b = ""World""c = a + "" "" + bprint(c)",Python Intermedio
26,Format Strings,https://www.w3schools.com/python/python_strings_format.asp,"Python -Format - Strings
String Format
As we learned in the Python Variables chapter, we cannot combine strings and numbers like this:
Example
But we can combine strings and numbers by usingf-stringsor theformat()method!","age = 36#This will produce an error:txt = ""My name is John, I am "" + ageprint(txt)
---
age = 36txt = f""My name is John, I am {age}""print(txt)
---
price = 59txt = f""The price is {price} dollars""print(txt)",Python Intermedio
27,Escape Characters,https://www.w3schools.com/python/python_strings_escape.asp,"Python -Escape Characters
Escape Character
To insert characters that are illegal in a string, use an escape character.
An escape character is a backslash\followed by the character you want to insert.
An example of an illegal character is a double quote inside a string that is surrounded by double quotes:","txt = ""We are the so-called ""Vikings"" from the north.""
---
txt = ""We are the so-called \""Vikings\"" from the north.""",Python Intermedio
28,String Methods,https://www.w3schools.com/python/python_strings_methods.asp,"Python -String Methods
String Methods
Python has a set of built-in methods that you can use on strings.
Note:All string methods return new values. They do not change the original string.",,Python Intermedio
29,String Exercises,https://www.w3schools.com/python/python_strings_exercises.asp,"Python -String Exercises
Test Yourself With Exercises
Now you have learned a lot about Strings, and how to use them in Python.
Are you ready for a test?
Exercises",,Python Intermedio
30,Python Booleans,https://www.w3schools.com/python/python_booleans.asp,"PythonBooleans
Booleans represent one of two values:TrueorFalse.
Boolean Values
In programming you often need to know if an expression isTrueorFalse.
You can evaluate any expression in Python, and get one of two 
answers,TrueorFalse.","print(10 > 9)print(10 == 9)print(10 < 9)
---
a = 200b = 33if b > a:print(""b is greater than a"")else:print(""b is not greater than a"")
---
print(bool(""Hello""))print(bool(15))",Python Intermedio
31,Python Operators,https://www.w3schools.com/python/python_operators.asp,"PythonOperators
Python Operators
Operators are used to perform operations on variables and values.
In the example below, we use the+operator to add together two values:
Example","print(10 + 5)
---
sum1 = 100 + 50      # 150 (100 + 50)sum2 = sum1 + 250    # 400 (150 + 250)sum3 = sum2 + sum2   # 800 (400 + 400)",Python Intermedio
32,Python Operators,https://www.w3schools.com/python/python_operators.asp,"PythonOperators
Python Operators
Operators are used to perform operations on variables and values.
In the example below, we use the+operator to add together two values:
Example","print(10 + 5)
---
sum1 = 100 + 50      # 150 (100 + 50)sum2 = sum1 + 250    # 400 (150 + 250)sum3 = sum2 + sum2   # 800 (400 + 400)",Python Intermedio
33,Arithmetic Operators,https://www.w3schools.com/python/python_operators_arithmetic.asp,"PythonArithmetic Operators
Arithmetic Operators
Arithmetic operators are used with numeric values to perform common mathematical operations:
Examples
Here is an example using different arithmetic operators:","x = 15y = 4print(x + y)print(x - y)print(x * y)print(x / y)print(x % y)print(x ** y)print(x // y)
---
x = 12y = 5print(x / y)
---
x = 12y = 5print(x // y)",Python Intermedio
34,Assignment Operators,https://www.w3schools.com/python/python_operators_assign.asp,"PythonAssignment Operators
Assignment Operators
Assignment operators are used to assign values to variables:
The Walrus Operator
Python 3.8 introduced the:=operator, known as the ""walrus operator"". It assigns values to variables as part of a larger expression:","numbers = [1, 2, 3, 4, 5]count = len(numbers)if count > 3:print(f""List has {count} elements"")if (count := len(numbers)) > 3:print(f""List has {count} elements"")",Python Intermedio
