numero_leccion,titulo,url,descripcion,ejemplos_codigo,categoria
1,Python HOME,https://www.w3schools.com/python/default.asp,"Python Tutorial
Learn Python
Python is a popular programming language.
Python can be used on a server to create web applications.
Tip: Sign in to track your progress.
Learning by Examples
With our ""Try it Yourself"" editor, you can edit Python code and view the result.
Example
Click on the ""Try it Yourself"" button to see how it works.
Python File Handling
In our File Handling section you will learn how to open, read, write, and 
delete files.
Python File Handling
Python Database Handling
In our database section you will learn how to access and work with MySQL and MongoDB databases:
Python MySQL Tutorial
Python MongoDB Tutorial
Python Exercises
Many chapters in this tutorial end with an exercise where you can check your level of knowledge.
Python Examples
Learn by examples! This tutorial supplements all explanations with clarifying examples.
See All Python Examples
Python Quiz
Test your Python skills with a quiz.
Python Quiz
Track Your Progress
View your completed tutorials, exercises, and quizzes
Keep an eye on your progress and daily streaks
Join the leaderboard and compete with others
Get your own avatar and unlock new skins
Create your own personal website
Sign Up »
Note: This is an optional feature. You can study at W3Schools without creating an account.
Python Reference
You will also find complete function and method references:
Download Python
Download Python from the official Python web site: https://python.org
Kickstart your career","print(""Hello, World!"")",Python Básico
2,Python Intro,https://www.w3schools.com/python/python_intro.asp,"Python Introduction
What is Python?
Python is a popular programming language. It was created by Guido van Rossum, 
and released in 1991.
It is used for:
web development (server-side),
software development,
mathematics,
system scripting.
What can Python do?
Python can be used on a server to create web applications.
Python can be used alongside software to create workflows.
Python can connect to database systems. It can also read and modify files.
Python can be used to handle big data and perform complex mathematics.
Python can be used for rapid prototyping, or for production-ready software development.
Why Python?
Python works on different platforms (Windows, Mac, Linux, Raspberry Pi, etc).
Python has a simple syntax similar to the English language.
Python has syntax that allows developers to write programs with fewer lines than some other programming languages.
Python runs on an interpreter system, meaning that code can be executed as soon as it is written. This means that prototyping can be very quick.
Python can be treated in a procedural way, an object-oriented way or a functional way.
Good to know
The most recent major version of Python is Python 3, which we shall be using in this tutorial.
In this tutorial Python will be written in a text editor. It is possible to write Python in an Integrated Development Environment, such as Thonny, Pycharm, Netbeans or Eclipse which are particularly useful when managing larger collections of Python files.
Python Syntax compared to other programming languages
Python was designed for readability, and has some similarities to the English language with influence from mathematics.
Python uses new lines to complete a command, as opposed to other programming languages which often use semicolons or parentheses.
Python relies on indentation, using whitespace, to define scope; such as the scope of loops, functions and classes. Other programming languages often use curly-brackets for this purpose.
Example
Video: Python Introduction","print(""Hello, World!"")",Python Básico
3,Python Get Started,https://www.w3schools.com/python/python_getstarted.asp,"Python Getting Started
Get Started With Python
At W3Schools, you can try Python without installing anything.
Our Online Python Editor runs directly in your browser, and shows both the code and the result:
Example
This editor will be used in the entire tutorial to demonstrate the different aspects of Python.
Python Install
However, if you want to run Python on your own computer, follow the instructions below.
Many Windows PCs and Mac computers already have Python pre-installed.
To check if Python is installed on Windows, search in the start bar for Python or run the following on the Command Line (cmd.exe):
To check if you have python installed on a Linux or Mac, then on linux open the command line or on Mac open the Terminal and type:
If Python is not installed on your computer, you can download it for free from the official website: https://www.python.org/
Python Quickstart
Python is an interpreted programming language, this means that as a developer you write Python (.py) files in a text editor and then put those files into the python interpreter to be executed.
Let's write our first Python file, called hello.py , which can be done in any text editor:
hello.py :
Simple as that. Save your file. Open your command line, navigate to the directory where you saved your file, and run:
The output should be:
Congratulations, you have written and executed your first Python program.
Python Version
To check the Python version of the editor, you can find it by importing the sys module:
Example
Check the Python version of the editor:
You will learn more about importing modules in our Python Modules chapter.
The Python Command Line
To test a short amount of code in python sometimes it is quickest and easiest not to write the code in a file. This is made possible because Python can be run as a command line itself.
Type the following on the Windows, Mac or Linux command line:
From there you can write any python code, including our hello world example from earlier in the tutorial:
Which will write ""Hello, World!"" in the command line:
Whenever you are done in the python command line, you can simply type the following to quit the python command line interface:
Video: Python Get Started","print(""Hello, World!"")
---
C:\Users\
Your Name
>python --version
---
python --version
---
C:\Users\
Your Name
>python hello.py
---
Hello, World!
---
import sys



print(sys.version)
---
C:\Users\
Your Name
>python
---
C:\Users\
Your Name
>py
---
C:\Users\
Your Name
>python

Python 3.6.4 (v3.6.4:d48eceb, Dec 19 2017, 06:04:45) [MSC v.1900 32 bit (Intel)] on win32

Type ""help"", ""copyright"", ""credits"" or ""license"" for more information.

>>> print(""Hello, World!"")
---
C:\Users\
Your Name
>python

Python 3.6.4 (v3.6.4:d48eceb, Dec 19 2017, 06:04:45) [MSC v.1900 32 bit (Intel)] on win32

Type ""help"", ""copyright"", ""credits"" or ""license"" for more information.

>>> print(""Hello, World!"")

Hello, World!
---
exit()",Python Básico
4,Python Syntax,https://www.w3schools.com/python/python_syntax.asp,"Python Syntax
Execute Python Syntax
As we learned in the previous page, Python syntax can be executed by writing directly in the Command Line:
Or by creating a python file on the server, using the .py file extension, and running it in the Command Line:
Python Indentation
Indentation refers to the spaces at the beginning of a code line.
Where in other programming languages the indentation in code is for readability 
only, the indentation in Python is very important.
Python uses indentation to indicate a block of code.
Example
Python will give you an error if you skip the indentation:
Example
Syntax Error:
The number of spaces is up to you as a programmer, the most common use is four, but it has 
to be at least one.
Example
You have to use the same number of spaces in the same block of code, 
otherwise Python will give you an error:
Example
Syntax Error:
Python Variables
In Python, variables are created when you assign a value to it: Example Variables in Python: x = 5 y = ""Hello, World!"" Python has no command for declaring a variable. You will learn more about variables in the Python Variables chapter. Comments Python has commenting capability for the purpose of in-code documentation. Comments start with a # , and Python will render the rest of the line as a comment: Example Comments in Python: #This is a comment. print(""Hello, World!"") Video: Python Syntax ★ +1 Sign in to track progress
Example
Variables in Python:
Python has no command for declaring a variable.
You will learn more about variables in the Python Variables chapter.
Comments
Python has commenting capability for the purpose of in-code documentation.
Comments start with a # , and Python will render the rest of the line as a comment: Example Comments in Python: #This is a comment. print(""Hello, World!"") Video: Python Syntax ★ +1 Sign in to track progress
Example
Comments in Python:
Video: Python Syntax",">>> print(""Hello, World!"")

    Hello, World!
---
C:\Users\
Your Name
>python myfile.py
---
if 5 > 2:

print(""Five is greater than two!"")
---
if 5 > 2:
 print(""Five is greater than two!"")

if 5 > 2:
        print(""Five is greater than two!"")
---
if 5 > 2:

 print(""Five is greater than two!"")

        print(""Five is greater than
  two!"")
---
x = 5
y = ""Hello, World!""
---
#This is a comment.

print(""Hello, World!"")",Python Básico
5,Syntax,https://www.w3schools.com/python/python_syntax.asp,"Python Syntax
Execute Python Syntax
As we learned in the previous page, Python syntax can be executed by writing directly in the Command Line:
Or by creating a python file on the server, using the .py file extension, and running it in the Command Line:
Python Indentation
Indentation refers to the spaces at the beginning of a code line.
Where in other programming languages the indentation in code is for readability 
only, the indentation in Python is very important.
Python uses indentation to indicate a block of code.
Example
Python will give you an error if you skip the indentation:
Example
Syntax Error:
The number of spaces is up to you as a programmer, the most common use is four, but it has 
to be at least one.
Example
You have to use the same number of spaces in the same block of code, 
otherwise Python will give you an error:
Example
Syntax Error:
Python Variables
In Python, variables are created when you assign a value to it: Example Variables in Python: x = 5 y = ""Hello, World!"" Python has no command for declaring a variable. You will learn more about variables in the Python Variables chapter. Comments Python has commenting capability for the purpose of in-code documentation. Comments start with a # , and Python will render the rest of the line as a comment: Example Comments in Python: #This is a comment. print(""Hello, World!"") Video: Python Syntax ★ +1 Sign in to track progress
Example
Variables in Python:
Python has no command for declaring a variable.
You will learn more about variables in the Python Variables chapter.
Comments
Python has commenting capability for the purpose of in-code documentation.
Comments start with a # , and Python will render the rest of the line as a comment: Example Comments in Python: #This is a comment. print(""Hello, World!"") Video: Python Syntax ★ +1 Sign in to track progress
Example
Comments in Python:
Video: Python Syntax",">>> print(""Hello, World!"")

    Hello, World!
---
C:\Users\
Your Name
>python myfile.py
---
if 5 > 2:

print(""Five is greater than two!"")
---
if 5 > 2:
 print(""Five is greater than two!"")

if 5 > 2:
        print(""Five is greater than two!"")
---
if 5 > 2:

 print(""Five is greater than two!"")

        print(""Five is greater than
  two!"")
---
x = 5
y = ""Hello, World!""
---
#This is a comment.

print(""Hello, World!"")",Python Básico
6,Statements,https://www.w3schools.com/python/python_statements.asp,"Python Statements
Statements
A computer program is a list of ""instructions"" to be ""executed"" by a computer.
In a programming language, these programming instructions are called statements .
The following statement prints the text ""Python is fun!"" to the screen:
Example
In Python, a statement usually ends when the line ends. You do not need to use a semicolon ( ; ) like in many other programming languages (for example, Java or C ).
Many Statements
Most Python programs contain many statements.
The statements are executed one by one, in the same order as they are written:
Example
Example explained
From the example above, we have three statements:
print(""Hello World!"")
print(""Have a good day."")
print(""Learning Python is fun!"")
The first statement is executed first (print ""Hello World!""). Then the second statement is executed (print ""Have a good day.""). And at last, the third statement is executed (print ""Learning Python is fun!"").
Semicolons (Optional, Rarely Used)
Semicolons are optional in Python. You can write multiple statements on one line by separating them with ; but this is 
rarely used because it makes it hard to read:
Example
However, if you put two statements on the same line without a separator (newline or ; ), Python will give an error:
Example
Result:
Best practice: Put each statement on its own line so your code is easy to understand.","print(""Python is fun!"")
---
print(""Hello World!"")
print(""Have a good day."")
print(""Learning Python is fun!"")
---
print(""Hello""); print(""How are
    you?""); print(""Bye bye!"")
---
print(""Python is fun!"") print(""Really!"")",Python Básico
7,Code Challenge,https://www.w3schools.com/python/python_challenges_statements.asp,"Python Syntax Code Challenge
Challenge: Statements
Test your understanding of Python statements by completing a small coding challenge.",,Python Básico
8,Python Output,https://www.w3schools.com/python/python_output.asp,"Python Output / Print
Print Text
You have already learned that you can use the print() function to display text or output values:
Example
You can use the print() function as many times as you want. Each call prints text on a new line by default:
Example
Double Quotes
Text in Python must be inside quotes. You can use either "" double quotes or ' single quotes:
Example
If you forget to put the text inside quotes, Python will give an error:
Example
Result:
Print Without a New Line
By default, the print() function ends with a new line.
If you want to print multiple words on the same line, you can use the end parameter:
Example
Note that we add a space after end="" "" for better readability.","print(""Hello World!"")
---
print(""Hello World!"")

    print(""I am learning Python."")

    print(""It is awesome!"")
---
print(""This will work!"")

    print('This will also work!')
---
print(This will cause an error)
---
print(""Hello World!"", end="" "")

    print(""I will print on the same line."")",Python Básico
9,Print Text,https://www.w3schools.com/python/python_output.asp,"Python Output / Print
Print Text
You have already learned that you can use the print() function to display text or output values:
Example
You can use the print() function as many times as you want. Each call prints text on a new line by default:
Example
Double Quotes
Text in Python must be inside quotes. You can use either "" double quotes or ' single quotes:
Example
If you forget to put the text inside quotes, Python will give an error:
Example
Result:
Print Without a New Line
By default, the print() function ends with a new line.
If you want to print multiple words on the same line, you can use the end parameter:
Example
Note that we add a space after end="" "" for better readability.","print(""Hello World!"")
---
print(""Hello World!"")

    print(""I am learning Python."")

    print(""It is awesome!"")
---
print(""This will work!"")

    print('This will also work!')
---
print(This will cause an error)
---
print(""Hello World!"", end="" "")

    print(""I will print on the same line."")",Python Básico
10,Print Numbers,https://www.w3schools.com/python/python_output_numbers.asp,"Python Output Numbers
Print Numbers
You can also use the print() function to display numbers:
However, unlike text, we don't put numbers inside double quotes:
Example
You can also do math inside the print() function:
Example
Mix Text and Numbers
You can combine text and numbers in one output by separating them with a comma:
Example
You will learn more about combining text and variables in the Python Variables and Python Strings chapters.","print(3)

    print(358)

    print(50000)
---
print(3 + 3)

    print(2 * 5)
---
print(""I am"", 35, ""years old."")",Python Básico
