numero_leccion,titulo,url,descripcion,ejemplos_codigo,categoria
1,Introducción a Python,,"Python es uno de los lenguajes de programación más populares del mundo. Fue creado por Guido van Rossum en 1991 y destaca por su sintaxis clara y legible, que se parece mucho al inglés natural.

¿Para qué se usa Python?
Python se utiliza en una gran variedad de campos: desarrollo web, análisis de datos, inteligencia artificial, automatización de tareas, scripting, videojuegos y mucho más. Empresas como Google, Instagram, Netflix o la NASA lo usan en sus sistemas.

Características principales:
- Sintaxis simple y fácil de aprender
- Lenguaje interpretado (no necesita compilarse)
- Tipado dinámico (no declaras el tipo de las variables)
- Multiplataforma: funciona en Windows, Mac y Linux
- Enorme comunidad y miles de librerías disponibles

Python usa la indentación (espacios al inicio de línea) para definir bloques de código, en lugar de llaves como otros lenguajes. Esto obliga a escribir código ordenado y legible.","# Tu primer programa en Python
print(""¡Hola, mundo!"")

# Python puede usarse como calculadora
print(2 + 3)        # 5
print(10 / 3)       # 3.3333...
print(10 // 3)      # 3 (división entera)
print(2 ** 8)       # 256 (potencia)

# Los comentarios empiezan con #
# Python no ejecuta estas líneas

# Mostrar texto y números juntos
nombre = ""Ana""
edad = 25
print(f""{nombre} tiene {edad} años"")",Python Básico
2,Sintaxis y estructura básica,,"La sintaxis de Python es intencionalmente simple. A diferencia de lenguajes como Java o C++, no necesitas punto y coma al final de cada línea ni llaves para delimitar bloques.

Indentación:
Python usa la indentación (normalmente 4 espacios) para definir bloques de código. Es obligatoria y forma parte del lenguaje, no es solo estilo.

Líneas de código:
Cada instrucción va en su propia línea. Si una línea es muy larga, puedes continuarla con una barra invertida \ o dentro de paréntesis.

Case-sensitive:
Python distingue entre mayúsculas y minúsculas. `nombre`, `Nombre` y `NOMBRE` son tres variables diferentes.

Convenciones de nomenclatura:
- Variables y funciones: snake_case → `mi_variable`, `calcular_area`
- Clases: PascalCase → `MiClase`
- Constantes: MAYÚSCULAS → `PI`, `MAX_INTENTOS`","# La indentación define los bloques
edad = 18

if edad >= 18:
    print(""Eres mayor de edad"")   # 4 espacios de indentación
    print(""Puedes votar"")
else:
    print(""Eres menor de edad"")

# Python es case-sensitive
ciudad = ""Madrid""
Ciudad = ""Barcelona""
print(ciudad)   # Madrid
print(Ciudad)   # Barcelona

# Línea larga dividida con paréntesis
resultado = (100 + 200 +
             300 + 400)
print(resultado)  # 1000

# Varias instrucciones en una línea (no recomendado)
x = 1; y = 2; z = 3",Python Básico
3,Variables y tipos de datos,,"Una variable es un espacio en memoria donde guardamos un valor. En Python no necesitas declarar el tipo de una variable: Python lo deduce automáticamente según el valor que le asignas.

Tipos de datos básicos:
- int: números enteros → 42, -7, 0
- float: números decimales → 3.14, -0.5, 2.0
- str: cadenas de texto → ""hola"", 'mundo'
- bool: valores lógicos → True, False
- NoneType: ausencia de valor → None

Tipado dinámico:
Una variable puede cambiar de tipo durante la ejecución del programa. Puedes verificar el tipo con la función type().

Asignación múltiple:
Python permite asignar varias variables en una sola línea, lo cual es muy útil para inicializar varias variables a la vez o intercambiar valores.","# Tipos básicos
entero = 42
decimal = 3.14
texto = ""Python mola""
activo = True
nada = None

# Verificar el tipo
print(type(entero))    # <class 'int'>
print(type(decimal))   # <class 'float'>
print(type(texto))     # <class 'str'>
print(type(activo))    # <class 'bool'>

# Asignación múltiple
x, y, z = 10, 20, 30
print(x, y, z)         # 10 20 30

# Mismo valor a varias variables
a = b = c = 0

# Intercambiar valores (sin variable temporal)
a, b = 5, 10
a, b = b, a
print(a, b)            # 10 5

# El tipo puede cambiar
variable = 100
print(type(variable))  # int
variable = ""ahora soy texto""
print(type(variable))  # str",Python Básico
4,Entrada y salida de datos,,"Toda aplicación útil necesita comunicarse con el usuario: mostrar resultados y recibir información. En Python, las funciones principales para esto son print() e input().

print():
Muestra información en pantalla. Acepta múltiples argumentos separados por comas y tiene parámetros opcionales como sep (separador) y end (carácter final).

input():
Pausa el programa y espera a que el usuario escriba algo y pulse Enter. Siempre devuelve una cadena de texto (str), así que si necesitas un número, tendrás que convertirlo.

Formateo de cadenas:
Python ofrece varias formas de combinar texto con variables. La más moderna y recomendada son los f-strings (desde Python 3.6), que son más legibles y eficientes.","# print() básico
print(""Bienvenido a Python"")
print(42)
print(3.14)

# print() con múltiples valores
nombre = ""Carlos""
edad = 30
print(""Nombre:"", nombre, ""| Edad:"", edad)

# Cambiar el separador y el final
print(""uno"", ""dos"", ""tres"", sep="" - "")     # uno - dos - tres
print(""Sin salto de línea"", end="""")
print("" continúa aquí"")

# f-strings (la forma recomendada)
producto = ""Portátil""
precio = 899.99
print(f""El {producto} cuesta {precio:.2f} €"")
# El Portátil cuesta 899.99 €

# Formateo con cálculos dentro del f-string
base = 10
altura = 5
print(f""Área del triángulo: {(base * altura) / 2}"")

# input() - leer del usuario
# nombre = input(""¿Cómo te llamas? "")
# print(f""Hola, {nombre}!"")

# Convertir la entrada a número
# edad_str = input(""¿Cuántos años tienes? "")
# edad = int(edad_str)
# print(f""Naciste en {2024 - edad}"")",Python Básico
5,Operadores,,"Los operadores son símbolos que realizan operaciones sobre valores y variables. Python tiene varios tipos:

Operadores aritméticos: realizan cálculos matemáticos.
- + suma, - resta, * multiplicación, / división
- // división entera (sin decimales)
- % módulo (resto de la división)
- ** potencia

Operadores de comparación: comparan dos valores y devuelven True o False.
- == igual, != distinto, > mayor, < menor, >= mayor o igual, <= menor o igual

Operadores lógicos: combinan condiciones booleanas.
- and: True solo si ambas condiciones son True
- or: True si al menos una condición es True
- not: invierte el valor booleano

Operadores de asignación: asignan o modifican el valor de una variable.
+= -= *= /= //= %= **=","# Aritméticos
print(17 // 5)   # 3  (división entera)
print(17 % 5)    # 2  (resto: 17 = 3*5 + 2)
print(2 ** 10)   # 1024

# Uso práctico del módulo: saber si un número es par
numero = 42
if numero % 2 == 0:
    print(f""{numero} es par"")

# Comparación
temperatura = 22
print(temperatura > 30)   # False
print(temperatura >= 20)  # True
print(temperatura == 22)  # True

# Lógicos
llueve = False
hace_frio = True

print(llueve and hace_frio)   # False
print(llueve or hace_frio)    # True
print(not llueve)             # True

# ¿Necesito abrigo? Solo si llueve O hace frío
necesito_abrigo = llueve or hace_frio
print(f""¿Necesito abrigo? {necesito_abrigo}"")

# Asignación compuesta
puntos = 100
puntos += 50    # puntos = puntos + 50
puntos *= 2     # puntos = puntos * 2
print(puntos)   # 300",Python Básico
6,Cadenas de texto (Strings),,"Una cadena (string) es una secuencia de caracteres. En Python se escriben entre comillas simples o dobles. Son inmutables: una vez creadas no se pueden modificar, pero sí se pueden crear nuevas a partir de ellas.

Operaciones básicas:
- Concatenación con +
- Repetición con *
- Longitud con len()
- Acceso por índice con [] (empieza en 0, los negativos cuentan desde el final)
- Slicing (rebanado) para extraer subcadenas: cadena[inicio:fin:paso]

Métodos más útiles:
upper(), lower(), strip(), split(), join(), replace(), find(), startswith(), endswith(), count()

Los strings son iterables, por lo que puedes recorrerlos con un bucle for.","# Creación y concatenación
saludo = ""Hola""
nombre = ""Python""
mensaje = saludo + "", "" + nombre + ""!""
print(mensaje)          # Hola, Python!

# Longitud y acceso por índice
cadena = ""Python""
print(len(cadena))      # 6
print(cadena[0])        # P  (primer carácter)
print(cadena[-1])       # n  (último carácter)

# Slicing
print(cadena[0:3])      # Pyt
print(cadena[2:])       # thon
print(cadena[:3])       # Pyt
print(cadena[::-1])     # nohtyP (invertir)

# Métodos
frase = ""  Aprender Python es genial  ""
print(frase.strip())              # elimina espacios extremos
print(frase.strip().upper())      # APRENDER PYTHON ES GENIAL
print(frase.strip().lower())      # aprender python es genial
print(frase.strip().replace(""Python"", ""programación""))

# split y join
palabras = ""uno,dos,tres,cuatro"".split("","")
print(palabras)          # ['uno', 'dos', 'tres', 'cuatro']
unidas = "" | "".join(palabras)
print(unidas)            # uno | dos | tres | cuatro

# f-strings con formato
pi = 3.14159265
print(f""Pi con 3 decimales: {pi:.3f}"")    # 3.142
precio = 1234567.89
print(f""Precio: {precio:,.2f} €"")         # 1,234,567.89 €",Python Básico
7,Listas,,"Una lista es una colección ordenada y mutable de elementos. Puede contener elementos de distintos tipos (aunque lo habitual es que sean del mismo tipo). Se definen con corchetes [].

Características:
- Ordenada: los elementos mantienen su posición
- Mutable: puedes añadir, eliminar y modificar elementos
- Indexada: se accede a los elementos por su posición (empieza en 0)
- Permite duplicados

Métodos principales:
- append(x): añade al final
- insert(i, x): inserta en la posición i
- remove(x): elimina la primera ocurrencia de x
- pop(i): elimina y devuelve el elemento en la posición i
- sort(): ordena en su lugar
- reverse(): invierte en su lugar
- index(x): devuelve la posición de x
- count(x): cuenta cuántas veces aparece x

List comprehension: forma compacta y pythónica de crear listas.","# Crear y acceder
frutas = [""manzana"", ""plátano"", ""naranja"", ""kiwi""]
print(frutas[0])     # manzana
print(frutas[-1])    # kiwi
print(frutas[1:3])   # ['plátano', 'naranja']

# Modificar
frutas[1] = ""pera""
print(frutas)

# Añadir elementos
frutas.append(""mango"")          # al final
frutas.insert(1, ""fresa"")       # en posición 1
print(frutas)

# Eliminar
frutas.remove(""naranja"")        # por valor
elemento = frutas.pop(0)        # por índice (devuelve el elemento)
print(f""Eliminado: {elemento}"")

# Ordenar
numeros = [5, 2, 8, 1, 9, 3]
numeros.sort()
print(numeros)                  # [1, 2, 3, 5, 8, 9]

# sorted() crea una nueva lista sin modificar la original
original = [5, 2, 8, 1]
ordenada = sorted(original, reverse=True)
print(original)                 # [5, 2, 8, 1] - sin cambios
print(ordenada)                 # [8, 5, 2, 1]

# List comprehension: crear una lista de cuadrados
cuadrados = [x**2 for x in range(1, 6)]
print(cuadrados)                # [1, 4, 9, 16, 25]

# Filtrar con comprehension
pares = [x for x in range(20) if x % 2 == 0]
print(pares)                    # [0, 2, 4, 6, 8, 10, 12, 14, 16, 18]",Python Básico
8,Tuplas,,"Una tupla es como una lista pero inmutable: una vez creada, no se puede modificar. Se definen con paréntesis () aunque también pueden crearse sin ellos.

¿Cuándo usar tuplas en lugar de listas?
- Cuando los datos no deben cambiar (coordenadas, colores RGB, registros de base de datos)
- Como claves de diccionarios (las listas no pueden ser claves porque son mutables)
- Para devolver múltiples valores desde una función
- Son algo más rápidas que las listas en acceso

Desempaquetado (unpacking):
Una de las características más potentes de las tuplas es que se pueden desempaquetar en variables individuales de forma muy elegante.

Las tuplas con un solo elemento necesitan una coma al final: (42,)","# Crear tuplas
coordenadas = (40.4168, -3.7038)    # Madrid
colores_rgb = (255, 128, 0)          # naranja
punto = 10, 20                       # sin paréntesis también funciona

print(coordenadas[0])    # 40.4168
print(len(colores_rgb))  # 3

# Intentar modificar → error
# colores_rgb[0] = 100   # TypeError!

# Desempaquetado
latitud, longitud = coordenadas
print(f""Lat: {latitud}, Lon: {longitud}"")

rojo, verde, azul = colores_rgb
print(f""R:{rojo} G:{verde} B:{azul}"")

# Desempaquetado con *
primero, *resto = (1, 2, 3, 4, 5)
print(primero)   # 1
print(resto)     # [2, 3, 4, 5]

# Funciones que devuelven múltiples valores (usan tuplas)
def minmax(lista):
    return min(lista), max(lista)

minimo, maximo = minmax([3, 1, 8, 2, 9, 4])
print(f""Mín: {minimo}, Máx: {maximo}"")   # Mín: 1, Máx: 9

# Tuplas como claves de diccionario
tablero = {}
tablero[(0, 0)] = ""X""
tablero[(1, 1)] = ""O""
print(tablero[(0, 0)])   # X",Python Básico
9,Diccionarios,,"Un diccionario es una colección de pares clave-valor. Es uno de los tipos de datos más usados en Python. Se define con llaves {} y cada elemento tiene una clave única que lo identifica.

Características:
- Acceso por clave (no por índice numérico)
- Las claves deben ser únicas e inmutables (strings, números, tuplas)
- Los valores pueden ser cualquier tipo
- Mantiene el orden de inserción (desde Python 3.7)
- Muy eficiente para búsquedas

Métodos principales:
- get(clave, defecto): accede a un valor sin error si no existe
- keys(): devuelve todas las claves
- values(): devuelve todos los valores
- items(): devuelve pares (clave, valor)
- update(): actualiza con otro diccionario
- pop(clave): elimina y devuelve un valor","# Crear un diccionario
persona = {
    ""nombre"": ""Elena"",
    ""edad"": 28,
    ""ciudad"": ""Sevilla"",
    ""activa"": True
}

# Acceder a valores
print(persona[""nombre""])           # Elena
print(persona.get(""edad""))         # 28
print(persona.get(""email"", ""N/A"")) # N/A (sin error)

# Añadir y modificar
persona[""email""] = ""elena@mail.com""
persona[""edad""] = 29
print(persona)

# Eliminar
del persona[""activa""]
email = persona.pop(""email"")
print(f""Email eliminado: {email}"")

# Iterar
for clave, valor in persona.items():
    print(f""{clave}: {valor}"")

# Diccionario por comprensión
cuadrados = {x: x**2 for x in range(1, 6)}
print(cuadrados)   # {1: 1, 2: 4, 3: 9, 4: 16, 5: 25}

# Diccionarios anidados
empresa = {
    ""nombre"": ""TechCo"",
    ""empleados"": {
        ""CEO"": ""Marcos"",
        ""CTO"": ""Lucía""
    }
}
print(empresa[""empleados""][""CTO""])   # Lucía

# Verificar si una clave existe
if ""nombre"" in persona:
    print(""Tiene nombre"")",Python Básico
10,Conjuntos (Sets),,"Un conjunto (set) es una colección no ordenada de elementos únicos. Es ideal para eliminar duplicados y realizar operaciones matemáticas de conjuntos como unión, intersección y diferencia.

Características:
- No permite duplicados (los elimina automáticamente)
- No tiene orden (no se accede por índice)
- Los elementos deben ser inmutables (no pueden ser listas ni diccionarios)
- Muy eficiente para comprobar si un elemento está en la colección

Operaciones de conjuntos:
- | unión (todos los elementos de ambos)
- & intersección (elementos comunes)
- - diferencia (en el primero pero no en el segundo)
- ^ diferencia simétrica (en uno u otro, pero no en ambos)

frozenset: versión inmutable del set, puede usarse como clave de diccionario.","# Crear conjuntos
vocales = {""a"", ""e"", ""i"", ""o"", ""u""}
colores = set([""rojo"", ""verde"", ""azul"", ""rojo"", ""verde""])
print(colores)   # {'azul', 'rojo', 'verde'} - sin duplicados

# Eliminar duplicados de una lista
numeros = [1, 2, 3, 2, 1, 4, 3, 5]
unicos = list(set(numeros))
print(unicos)   # [1, 2, 3, 4, 5] (orden puede variar)

# Operaciones
python_devs = {""Ana"", ""Luis"", ""Sara"", ""Pedro""}
java_devs   = {""Luis"", ""María"", ""Pedro"", ""Jorge""}

# Unión: todos los desarrolladores
todos = python_devs | java_devs
print(todos)

# Intersección: conocen ambos lenguajes
ambos = python_devs & java_devs
print(ambos)    # {'Luis', 'Pedro'}

# Diferencia: solo Python, no Java
solo_python = python_devs - java_devs
print(solo_python)   # {'Ana', 'Sara'}

# Comprobar pertenencia (muy rápido)
print(""Ana"" in python_devs)    # True
print(""María"" in python_devs)  # False

# Métodos
vocales.add(""y"")      # añadir elemento
vocales.discard(""y"")  # eliminar sin error si no existe
print(len(vocales))   # 5",Python Básico
